日付,カテゴリー,品目,金額
2024/01/01,食費,スーパーマーケット,3500
2024/01/01,交通費,電車,220
2024/01/03,食費,コンビニ,800
2024/01/04,光熱費,電気代,8500
2024/01/05,食費,レストラン,2500
2024/01/06,食費,スーパーマーケット,4200
2024/01/07,通信費,携帯電話,6800
2024/01/08,食費,カフェ,650
2024/01/10,食費,スーパーマーケット,5300
2024/01/11,交通費,バス,200
2024/01/12,食費,コンビニ,1200
2024/01/13,娯楽費,映画,1800
2024/01/15,食費,レストラン,3200
2024/01/16,食費,スーパーマーケット,4500
2024/01/18,食費,コンビニ,950
2024/01/20,食費,スーパーマーケット,6200
2024/01/22,交通費,電車,440
2024/01/23,食費,カフェ,800
2024/01/25,食費,レストラン,2800
2024/01/27,食費,スーパーマーケット,3900
2024/01/29,食費,コンビニ,700
2024/01/30,娯楽費,書籍,2400
2024/01/31,食費,スーパーマーケット,4100
