日付,商品名,カテゴリー,売上金額
2024/01/01,ミネラルウォーター,飲料,15000
2024/01/01,お弁当,食品,25000
2024/01/02,コーヒー,飲料,12000
2024/01/02,ティッシュ,日用品,8000
2024/01/03,お茶,飲料,18000
2024/01/03,パン,食品,22000
2024/01/04,ジュース,飲料,20000
2024/01/04,洗剤,日用品,15000
2024/01/05,コーラ,飲料,25000
2024/01/05,おにぎり,食品,18000
2024/01/06,スポーツドリンク,飲料,22000
2024/01/06,サラダ,食品,16000
2024/01/07,コーヒー,飲料,14000
2024/01/07,ノート,雑貨,12000
2024/01/08,お茶,飲料,16000
2024/01/08,カップ麺,食品,20000
2024/01/09,ジュース,飲料,18000
2024/01/09,シャンプー,日用品,25000
2024/01/10,ミネラルウォーター,飲料,13000
2024/01/10,お菓子,食品,15000
2024/01/11,コーヒー,飲料,19000
2024/01/11,ボールペン,雑貨,8000
2024/01/12,お茶,飲料,21000
2024/01/12,お弁当,食品,28000
2024/01/13,スポーツドリンク,飲料,17000
2024/01/13,トイレットペーパー,日用品,12000
2024/01/14,コーラ,飲料,23000
2024/01/14,サンドイッチ,食品,19000
2024/01/15,ジュース,飲料,16000
2024/01/15,洗濯用洗剤,日用品,22000
2024/01/16,コーヒー,飲料,15000
2024/01/16,パスタ,食品,24000
2024/01/17,お茶,飲料,20000
2024/01/17,ファイル,雑貨,15000
2024/01/18,ミネラルウォーター,飲料,14000
2024/01/18,お弁当,食品,26000
2024/01/19,スポーツドリンク,飲料,19000
2024/01/19,キッチンペーパー,日用品,10000
2024/01/20,コーラ,飲料,22000
2024/01/20,おにぎり,食品,17000
2024/01/21,ジュース,飲料,18000
2024/01/21,メモ帳,雑貨,9000
2024/01/22,コーヒー,飲料,16000
2024/01/22,サラダ,食品,20000
2024/01/23,お茶,飲料,17000
2024/01/23,食器用洗剤,日用品,18000
2024/01/24,ミネラルウォーター,飲料,15000
2024/01/24,カップ麺,食品,21000
2024/01/25,スポーツドリンク,飲料,20000
2024/01/25,ハンドソープ,日用品,14000
2024/01/26,コーヒー,飲料,18000
2024/01/26,お菓子,食品,16000
2024/01/27,お茶,飲料,19000
2024/01/27,クリアファイル,雑貨,11000
2024/01/28,コーラ,飲料,24000
2024/01/28,お弁当,食品,27000
2024/01/29,ジュース,飲料,17000
2024/01/29,柔軟剤,日用品,20000
2024/01/30,コーヒー,飲料,16000
2024/01/30,サンドイッチ,食品,18000
2024/01/31,お茶,飲料,20000
2024/01/31,ホッチキス,雑貨,13000
