日付,商品コード,商品名,区分,数量
2024/01/01,P001,ボールペン（黒）,入庫,50
2024/01/02,P002,ボールペン（赤）,入庫,50
2024/01/03,P003,ノート,入庫,30
2024/01/04,P001,ボールペン（黒）,出庫,5
2024/01/05,P002,ボールペン（赤）,出庫,10
2024/01/06,P003,ノート,出庫,15
2024/01/07,P004,クリアファイル,入庫,100
2024/01/08,P001,ボールペン（黒）,出庫,3
2024/01/09,P002,ボールペン（赤）,出庫,8
2024/01/10,P003,ノート,出庫,20
2024/01/11,P004,クリアファイル,出庫,25
2024/01/12,P005,ホッチキス,入庫,40
2024/01/13,P001,ボールペン（黒）,出庫,2
2024/01/14,P002,ボールペン（赤）,出庫,12
2024/01/15,P003,ノート,出庫,8
2024/01/16,P004,クリアファイル,出庫,30
2024/01/17,P005,ホッチキス,出庫,5
2024/01/18,P006,消しゴム,入庫,60
2024/01/19,P002,ボールペン（赤）,出庫,15
2024/01/20,P003,ノート,出庫,25
2024/01/21,P004,クリアファイル,出庫,20
2024/01/22,P005,ホッチキス,出庫,8
2024/01/23,P006,消しゴム,出庫,35
2024/01/24,P001,ボールペン（黒）,入庫,10
2024/01/25,P002,ボールペン（赤）,出庫,5
2024/01/26,P004,クリアファイル,出庫,15
2024/01/27,P005,ホッチキス,出庫,12
2024/01/28,P006,消しゴム,出庫,18
2024/01/29,P003,ノート,出庫,10
2024/01/30,P004,クリアファイル,出庫,8
