日付,売上金額
2024/01/01,62000
2024/01/02,58000
2024/01/03,65000
2024/01/04,72000
2024/01/05,85000
2024/01/06,55000
2024/01/07,53000
2024/01/08,68000
2024/01/09,64000
2024/01/10,75000
2024/01/11,82000
2024/01/12,95000
2024/01/13,72000
2024/01/14,64000
2024/01/15,60000
2024/01/16,58000
2024/01/17,70000
2024/01/18,78000
2024/01/19,88000
2024/01/20,68000
2024/01/21,58000
2024/01/22,72000
2024/01/23,68000
2024/01/24,78000
2024/01/25,85000
2024/01/26,98000
2024/01/27,75000
2024/01/28,74000
2024/01/29,70000
2024/01/30,68000
2024/01/31,72000
